customerId,recommendedProducts
1286,226|247|230|248|83|294|125|204|213|284
1290,226|247|230|248|294|125|213|204|165|72
1342,226|247|230|248|83|294|125|213|284|204
1347,226|247|230|248|83|294|125|284|204|213
1380,226|247|230|248|83|294|125|204|284|213
1387,226|247|230|248|83|294|125|213|284|204
1412,226|247|230|248|83|294|125|204|284|213
1416,226|247|230|248|83|294|125|284|213|204
1425,226|247|230|248|83|294|125|213|284|204
1434,226|247|230|248|83|294|125|213|204|284
1455,226|247|230|248|83|294|125|204|284|213
1475,226|247|230|248|83|294|125|204|284|213
1504,226|247|230|248|83|294|125|213|204|284
1553,226|247|230|248|83|294|125|204|284|213
1559,226|247|230|248|83|294|125|284|213|204
1583,247|230|248|83|294|125|284|204|213|165
1586,226|247|230|248|83|294|125|213|204|284
1619,226|247|230|248|83|294|125|204|213|284
1653,226|247|230|248|83|294|125|204|213|284
1668,226|247|230|248|83|294|125|213|204|284
1695,226|247|230|248|83|294|125|213|204|284
1705,226|247|230|248|83|294|125|204|213|284
1730,226|247|230|248|83|294|125|213|204|284
1743,226|247|230|248|83|294|125|204|213|284
1757,226|247|230|248|83|294|125|204|213|284
1768,226|247|230|248|83|294|125|213|204|165
1783,226|247|230|248|83|294|125|204|213|284
1851,226|247|230|248|83|294|125|213|204|284
1870,226|247|230|248|83|294|125|204|284|213
1911,226|247|230|248|83|294|125|204|213|284
1916,226|247|230|248|83|294|125|284|204|213
1939,226|247|230|248|83|294|125|204|284|213
1981,226|247|230|248|83|294|125|204|284|213
2008,226|247|230|248|83|294|125|204|213|284
2029,226|247|230|248|83|294|125|204|213|165
2043,226|247|230|248|294|125|204|284|213|165
2052,226|247|230|248|83|294|125|204|284|213
2062,226|247|230|248|83|294|125|204|284|213
2087,226|247|230|248|83|294|125|213|204|284
2143,226|247|230|248|83|294|125|284|213|204
2202,226|247|230|248|83|294|125|213|204|284
2232,226|247|230|248|83|294|125|204|213|284
2265,226|247|230|248|83|294|125|204|213|284
2278,226|247|230|248|83|294|125|213|204|284
2279,226|247|230|248|83|294|125|213|204|284
2283,226|247|230|248|83|294|125|204|284|213
2285,226|247|230|248|83|294|125|204|213|284
2315,226|247|230|248|83|294|125|204|213|284
2347,226|247|230|248|83|294|125|204|284|213
2388,226|247|230|248|83|294|125|204|213|284
2396,226|247|230|248|83|294|125|213|284|204
2403,226|247|230|248|83|294|125|284|204|213
2409,226|247|230|248|83|294|125|284|204|213
2410,226|247|230|248|83|294|125|204|284|213
2414,226|247|230|248|83|294|125|204|284|213
2417,226|247|248|83|294|125|284|213|204|165
2430,226|247|230|248|83|294|125|284|204|213
2466,226|247|230|248|83|294|125|213|204|284
2478,226|247|230|248|83|294|125|204|213|284
2479,226|247|230|248|83|294|125|284|213|204
2531,226|247|230|248|83|294|125|213|204|284
2536,226|247|230|248|83|294|125|284|204|213
2579,226|247|230|248|83|294|125|204|284|213
2581,226|247|230|248|83|294|125|204|284|213
2590,226|247|230|83|248|294|125|213|204|284
2615,226|247|230|248|83|294|125|204|213|284
2624,226|247|230|248|83|294|125|284|204|213
2626,226|247|230|248|83|294|125|204|284|213
2654,226|247|230|248|83|294|125|284|204|213
2670,226|247|230|248|83|294|125|204|284|213
2715,226|247|230|248|83|294|125|213|204|284
2724,226|247|230|248|83|294|125|213|284|204
2770,226|247|230|248|83|294|125|204|284|213
2815,226|247|230|248|83|294|125|204|284|213
2819,226|247|230|248|83|294|125|204|213|284
2831,226|247|230|248|83|294|125|284|213|204
2833,226|247|230|248|83|294|125|204|213|284
2842,226|247|230|248|83|294|125|204|213|284
2865,226|247|230|83|248|294|125|204|213|284
2878,226|247|230|248|83|294|125|204|213|284
2892,226|247|230|248|83|294|125|204|213|284
2914,226|247|230|248|83|294|125|204|213|284
2977,226|247|230|248|83|294|125|204|213|284
2978,226|230|248|83|294|125|204|213|284|165
2993,226|247|230|248|83|294|125|204|284|213
3003,226|247|230|248|83|294|125|204|213|165
3012,226|247|230|248|83|294|125|204|284|213
3018,226|247|230|248|83|294|125|204|284|213
3020,226|230|248|83|294|125|204|284|213|165
3026,226|247|230|248|83|294|125|204|213|284
3045,226|247|230|248|83|294|125|284|204|213
3087,226|247|230|248|83|294|125|204|284|213
3115,226|247|230|248|83|294|125|213|204|284
3171,226|247|230|248|83|294|125|213|204|284
3196,226|247|230|248|83|294|125|204|284|213
3223,226|247|230|248|83|294|125|284|204|213
3230,226|247|230|248|83|294|125|213|204|284
3240,226|247|230|248|83|294|125|204|284|213
3257,226|247|230|248|83|294|125|204|284|213
3272,226|247|230|248|83|294|125|284|204|213
3300,226|247|230|248|83|294|125|213|284|204
3341,226|247|230|248|83|294|125|284|204|213
3348,226|247|230|248|83|294|125|213|284|204
3369,226|247|230|248|83|294|125|213|204|284
3386,226|247|230|248|83|294|125|284|213|204
3399,226|247|230|248|83|294|125|213|204|284
3431,226|247|230|248|83|294|125|204|213|284
3444,226|247|230|248|83|294|125|204|284|213
3549,226|247|230|248|83|294|125|204|213|284
3557,226|247|230|248|83|294|125|284|213|204
3593,226|247|230|248|83|294|125|204|284|213
3609,226|247|230|248|83|294|125|284|204|213
3645,226|247|230|248|83|294|125|204|213|284
3651,226|247|230|248|83|294|125|204|213|284
3699,226|247|230|248|83|294|125|204|213|284
3709,226|247|230|248|83|294|125|204|213|284
3716,226|247|230|248|83|294|125|213|204|284
3731,226|247|230|248|83|294|125|204|213|284
3762,226|247|230|248|83|294|125|213|204|284
3768,226|247|230|248|83|294|125|204|284|213
3769,226|247|230|248|83|294|125|284|204|213
3773,226|247|230|248|83|294|125|204|213|284
3775,226|247|230|248|83|294|125|213|284|204
3797,226|247|230|248|83|294|125|204|284|213
3800,226|247|230|248|83|294|125|213|204|284
3843,226|247|230|248|83|294|125|204|213|284
3851,226|247|230|248|83|294|125|284|204|213
3865,226|247|230|248|83|294|125|213|284|204
3879,226|247|230|248|83|294|125|204|284|213
3891,226|247|230|248|83|294|125|204|284|213
3899,226|247|230|248|83|294|125|204|284|213
3955,226|247|230|248|83|294|125|204|284|213
3978,226|247|230|248|83|294|125|204|284|213
3984,226|247|230|248|83|294|125|204|284|213
4007,226|247|230|248|83|294|125|213|284|204
4070,226|247|230|248|83|294|125|213|204|284
4087,226|247|230|248|83|294|125|213|204|284
4118,226|247|230|248|83|294|125|204|284|213
4152,226|247|230|248|83|294|125|204|213|284
4175,226|247|230|248|83|294|284|204|213|165
4207,226|247|230|248|83|294|125|204|213|284
4233,226|247|230|248|83|294|125|204|284|213
4269,226|247|230|248|294|125|213|204|284|165
4271,226|247|230|248|83|294|125|284|204|213
4339,226|247|230|248|83|294|125|284|213|204
4392,226|247|230|248|83|294|125|204|213|284
4405,226|247|230|248|83|294|125|204|284|213
4407,226|247|230|248|83|294|125|204|284|213
4418,226|247|230|248|83|294|125|213|204|284
4442,226|247|230|248|83|294|125|204|284|213
4449,226|247|230|248|83|294|125|284|204|213
4476,226|247|230|248|83|294|125|213|204|284
4516,226|247|230|248|83|294|125|204|213|284
4524,226|247|230|248|83|294|125|204|213|284
4527,226|247|230|248|83|125|284|213|204|165
4537,226|247|230|248|83|294|125|284|204|213
4564,226|247|230|248|83|294|125|204|284|213
4589,226|247|230|248|83|294|125|204|284|213
4608,226|247|230|248|83|294|125|204|284|213
4613,226|247|230|83|248|294|125|204|284|213
4618,226|247|230|248|83|294|125|204|213|284
4657,226|247|230|248|83|294|125|204|213|284
4659,226|247|230|248|83|294|125|204|284|213
4671,226|247|230|248|83|294|125|204|213|284
4717,226|247|230|248|83|294|125|204|213|284
4757,226|247|230|248|83|294|125|204|284|213
4776,226|247|230|248|83|294|125|284|204|213
4799,226|247|230|248|83|294|125|204|213|284
4800,226|247|230|248|83|294|125|284|204|213
4823,226|247|230|248|83|294|125|204|213|284
4848,226|247|230|248|83|294|125|284|204|213
4851,226|247|230|248|83|294|125|204|284|213
4871,226|247|230|248|83|294|125|213|204|284
4950,226|247|230|248|83|294|125|204|284|213
5001,226|247|230|248|83|294|125|204|213|284
5022,247|230|248|83|294|125|213|284|204|72
5065,226|247|230|248|83|294|125|204|284|213
5092,226|247|230|248|83|294|125|284|204|213
5095,226|247|230|248|83|294|125|204|284|213
5113,226|247|230|248|83|294|125|204|284|213
5118,226|247|230|248|83|294|125|284|204|213
5127,226|247|230|248|83|294|125|284|213|204
5193,226|247|230|248|83|294|125|284|204|213
5199,226|247|230|248|83|294|125|213|204|284
5200,226|247|230|248|83|294|125|204|284|213
5220,226|247|230|248|83|294|125|204|213|284
5242,226|247|230|248|83|294|284|213|204|165
5264,226|247|230|248|83|294|125|204|284|213
5273,226|247|230|248|83|294|125|165|204|213
5347,226|247|230|248|83|294|125|204|213|284
5361,226|247|230|248|83|294|125|284|204|213
5365,226|247|230|248|83|294|125|284|213|204
5368,226|247|230|248|83|294|125|204|213|284
5418,226|247|230|248|83|294|125|204|284|213
5430,226|247|230|248|83|294|125|204|213|284
5459,226|247|230|248|83|294|204|284|213|165
5461,226|247|230|248|83|294|125|204|284|213
5501,226|247|230|248|83|294|125|204|284|213
5512,226|247|230|248|83|294|125|204|213|284
5513,226|247|230|248|83|294|125|204|213|284
5522,247|230|248|83|125|204|284|165|276|132
5524,226|247|230|248|83|294|125|204|213|284
5527,226|247|230|248|83|294|125|204|284|213
5555,226|247|230|248|83|294|125|284|213|204
5562,226|247|230|248|83|294|125|204|213|284
5570,226|247|248|83|294|125|213|284|204|165
5581,226|247|230|248|83|294|125|204|213|284
5648,226|247|230|248|83|294|125|284|204|213
5666,226|247|230|248|83|294|125|284|204|213
5684,226|247|230|248|83|294|125|213|204|284
5751,226|247|230|248|83|294|125|204|284|213
5774,226|247|230|248|83|294|125|213|165|72
5891,226|247|230|248|83|294|125|204|213|284
5926,226|247|230|248|83|294|125|213|204|284
5940,226|247|230|248|83|294|125|204|213|284
5957,226|247|230|248|83|294|125|204|213|284
6010,226|247|230|248|83|294|125|284|204|213
6016,226|247|230|248|83|294|125|204|213|284
6030,226|247|230|248|83|294|125|213|284|204
6032,226|247|230|248|83|294|125|284|213|204
6132,226|247|230|248|294|125|213|204|284|165
6145,226|247|230|248|83|294|125|213|204|284
6158,226|247|230|248|83|294|125|204|213|284
6166,226|247|230|248|83|294|125|204|213|284
6167,226|247|230|248|83|294|125|284|213|204
6182,226|247|230|248|83|294|125|213|204|284
6220,226|247|230|248|83|294|125|204|284|213
6258,226|247|230|248|83|294|125|213|204|284
6269,226|247|230|248|83|294|125|204|284|213
6294,226|247|230|248|83|294|125|204|284|213
6297,226|247|230|248|83|294|125|204|213|284
6313,226|247|230|248|83|294|125|204|213|284
6323,226|247|230|248|83|294|125|213|204|284
6326,226|247|230|248|83|294|125|204|213|284
6334,226|247|230|248|83|294|125|204|284|213
6337,226|247|230|248|83|294|125|204|213|284
6344,226|247|230|248|83|294|125|204|284|213
6345,226|247|230|248|83|294|125|204|213|284
6346,226|247|230|248|83|294|125|284|204|213
6385,226|247|230|248|83|294|125|204|213|284
6394,226|247|230|248|83|294|125|204|213|284
6395,226|247|230|248|83|294|125|204|213|284
6427,226|247|230|248|83|294|125|204|213|284
6430,226|247|230|248|83|294|125|204|213|284
6443,226|247|230|248|83|294|125|204|213|284
6455,226|247|230|248|83|294|125|213|204|284
6560,226|247|230|248|83|294|125|213|204|284
6577,226|247|230|248|83|294|125|204|284|213
6591,226|247|230|248|83|294|125|213|204|284
6646,226|247|230|248|83|294|125|284|204|213
6649,226|247|230|248|83|294|125|204|213|284
6655,226|247|230|248|83|294|125|204|284|213
6657,226|247|230|248|83|294|125|213|284|204
6665,226|247|230|248|83|294|125|204|284|213
6680,226|247|230|248|83|294|125|213|204|284
6701,226|247|230|248|83|294|125|204|213|284
6730,226|247|230|248|83|294|125|204|284|213
6769,226|247|230|248|83|294|125|213|284|204
6774,226|247|230|248|83|294|125|204|284|213
6777,226|247|230|248|83|294|125|204|284|213
6782,226|247|230|248|83|294|125|213|204|284
6787,226|247|230|248|83|294|125|213|284|204
6795,226|247|230|248|83|294|125|213|204|284
6799,226|247|230|248|83|294|125|204|213|284
6803,226|247|230|248|83|294|125|204|213|284
6827,226|247|230|248|83|294|125|204|213|284
6829,226|247|230|248|83|294|125|204|284|213
6834,226|247|230|248|83|294|125|204|284|213
6851,226|247|230|248|83|294|125|204|213|284
6878,226|247|230|248|83|125|213|204|284|165
6884,226|247|230|248|83|294|125|204|284|213
6917,226|247|230|248|83|294|125|284|204|213
6961,226|247|230|248|83|294|125|204|213|284
6967,226|247|230|248|83|294|125|204|213|284
6975,226|247|230|248|83|294|125|204|213|284
6977,226|247|230|248|83|294|125|204|213|284
6997,226|247|230|248|83|294|125|204|284|213
7005,226|247|230|248|83|294|125|284|213|204
7011,226|247|230|248|83|294|125|204|213|284
7034,226|247|230|248|83|294|204|213|284|165
7041,226|247|230|248|83|294|125|204|213|284
7062,226|247|230|248|83|294|125|204|213|284
7065,247|230|248|83|294|125|204|284|213|165
7096,226|247|230|248|83|294|125|204|213|284
7106,226|247|230|248|83|294|125|204|213|284
7118,226|247|230|248|83|294|125|204|213|284
7133,226|247|230|248|83|294|125|213|284|204
7153,226|247|230|83|294|125|204|284|213|165
7175,226|247|230|248|83|294|125|213|284|204
7180,226|247|230|248|83|294|125|204|213|284
7207,226|247|230|248|83|294|125|213|204|284
7228,226|247|230|248|83|294|125|204|213|284
7259,226|247|230|248|83|294|125|204|213|284
7274,226|247|230|248|83|294|125|213|204|284
7282,226|247|230|248|83|294|125|204|284|213
7286,226|247|230|248|83|294|125|213|284|204
7299,226|247|230|248|83|294|125|213|284|204
7326,226|247|230|248|83|294|125|213|204|284
7368,226|247|230|248|83|294|125|213|204|284
7394,226|247|230|248|83|294|125|284|213|204
7412,226|247|230|248|83|294|125|204|213|284
7443,226|247|230|248|83|294|125|204|213|284
7454,226|247|230|248|83|294|125|204|284|213
7455,226|247|230|248|83|294|125|204|284|213
7505,226|247|230|248|83|294|125|213|284|204
7510,226|247|230|248|83|294|125|204|213|284
7513,226|247|230|248|83|294|125|204|284|213
7515,226|247|230|248|83|294|125|204|213|284
7522,226|247|230|248|83|294|125|204|213|284
7551,226|247|230|248|83|294|125|204|213|165
7569,226|247|230|248|83|294|125|284|213|165
7601,226|247|230|248|83|294|125|213|284|204
7625,226|247|230|248|83|294|125|204|284|213
7650,226|247|230|248|83|294|125|204|213|284
7657,226|247|230|248|83|294|125|284|213|204
7706,226|247|230|248|83|294|125|213|204|284
7714,226|247|230|248|83|294|125|204|284|213
7722,226|247|230|248|83|294|125|213|204|284
7731,226|247|230|248|83|294|125|213|204|284
7755,226|247|230|248|83|294|125|204|284|213
7777,226|247|230|248|83|294|125|284|213|204
7786,226|247|230|248|83|294|125|204|213|284
7828,226|247|230|248|83|294|125|204|284|213
7846,226|247|230|248|83|294|125|204|213|284
7855,226|247|230|248|83|294|125|284|204|213
7869,226|247|230|248|83|294|125|204|284|213
7919,226|247|230|248|83|294|125|204|284|213
7951,226|247|230|248|83|294|125|204|213|284
7981,226|247|230|248|83|294|125|204|213|284
7988,226|247|230|248|83|294|125|204|213|284
7997,226|247|230|248|83|294|125|204|213|284
8046,226|247|230|248|83|294|125|213|204|284
8047,226|247|230|248|83|294|125|204|213|284
8099,226|247|230|248|83|294|125|213|284|204
8108,226|247|230|248|83|294|125|284|204|213
8111,226|247|230|248|83|294|125|213|204|284
8112,226|247|230|248|83|294|125|213|284|204
8157,226|247|230|248|83|294|125|213|204|284
8164,226|247|230|248|83|294|125|213|204|284
8207,226|247|230|248|83|294|125|204|213|284
8222,226|247|230|248|83|294|125|204|284|165
8230,226|247|230|248|83|294|125|204|284|213
8272,226|247|230|248|83|294|125|204|284|213
8291,226|247|230|248|83|294|125|165|204|213
8296,226|247|230|248|83|294|125|204|213|284
8323,226|247|230|248|83|294|125|204|284|213
8330,226|247|230|248|83|294|125|284|213|204
8339,226|247|230|248|83|294|125|213|284|204
8346,226|247|230|248|83|294|125|204|284|213
8423,226|247|230|248|83|294|125|213|204|284
8437,226|247|230|248|83|294|125|204|213|284
8475,226|247|230|248|83|294|125|204|284|213
8512,226|247|230|248|83|294|125|213|204|284
8540,226|247|230|248|83|294|125|213|204|284
8609,226|247|230|248|83|294|125|204|284|213
8619,247|230|248|83|294|125|213|284|204|72
8627,226|247|230|248|83|294|125|204|284|213
8734,226|247|230|248|83|294|125|204|284|213
8738,226|247|230|248|83|294|125|213|204|284
8808,226|247|230|248|83|294|125|204|213|284
8817,226|247|230|248|83|294|125|204|284|213
8838,226|247|230|248|83|294|125|204|213|284
8844,226|247|230|248|83|294|125|204|213|284
8865,226|247|248|83|294|125|204|213|284|165
8877,226|247|230|248|83|294|125|213|284|204
8907,226|247|230|248|83|294|125|284|204|213
8931,226|247|230|248|83|294|125|204|284|213
8947,226|247|230|248|83|294|125|213|284|204
9023,226|247|230|248|83|294|125|284|213|204
9051,226|247|230|248|83|294|125|213|284|204
9155,226|247|230|248|83|294|125|204|213|284
9166,226|247|230|248|83|294|125|204|284|213
9173,226|247|230|248|83|294|125|204|213|284
9194,247|230|248|83|294|125|204|284|165|213
9239,226|247|230|248|83|294|125|204|284|213
9282,226|247|230|248|83|294|125|204|284|213
9284,226|247|230|248|83|294|125|204|213|284
9398,226|247|230|248|83|294|125|204|284|213
9404,226|247|230|248|83|294|125|204|284|213
9405,226|247|230|248|83|294|125|213|204|165
9449,226|247|230|248|83|294|125|204|284|213
9472,226|247|230|248|83|294|125|284|213|204
9501,226|247|230|248|83|294|125|213|204|284
9524,226|247|230|248|83|294|125|204|284|213
9545,226|247|230|248|83|294|125|204|213|284
9552,226|247|230|248|83|294|125|284|213|204
9557,226|247|230|248|83|294|125|204|213|284
9565,226|247|230|248|83|294|125|204|213|284
9576,226|247|230|248|83|294|125|204|213|284
9578,226|247|230|248|83|294|125|284|204|213
9584,226|247|230|248|83|294|125|204|213|284
9612,226|247|230|248|83|294|125|204|213|165
9646,226|247|230|248|83|294|125|204|213|284
9648,226|247|230|248|83|294|125|204|213|284
9665,226|247|230|248|83|294|125|213|204|284
9668,226|247|230|248|83|294|125|204|284|213
9711,226|247|230|248|83|125|284|213|204|165
9720,226|247|230|248|83|294|125|284|204|213
9733,226|247|230|248|83|294|125|204|284|213
9796,226|247|230|248|83|294|125|284|213|204
9806,226|247|230|248|83|294|125|284|213|204
9831,226|247|230|248|83|294|125|213|204|284
9852,226|247|230|248|83|294|125|204|213|284
9873,226|247|230|248|83|294|125|284|213|204
9878,226|247|230|248|83|294|125|284|204|213
9889,226|247|230|248|83|294|125|213|204|284
9949,226|247|230|83|294|125|204|213|284|165
9954,226|247|230|248|83|294|125|204|213|284
9960,226|247|230|248|83|294|125|284|204|213
9961,226|247|230|248|83|294|125|213|204|284
9974,226|247|230|248|83|294|125|204|213|284
9978,226|247|230|248|83|294|125|204|213|284
10016,226|247|230|248|83|294|125|204|213|284
10018,226|247|230|248|83|294|125|204|213|284
10104,226|247|230|248|83|294|125|204|284|213
10159,226|247|230|248|83|294|125|204|284|213
10209,226|247|230|248|83|294|125|213|204|284
10222,226|247|230|248|83|294|125|204|284|213
10268,226|247|230|248|83|294|125|204|213|284
10269,226|247|230|248|83|294|125|284|204|213
10285,226|247|230|248|83|294|125|213|204|284
10382,226|247|230|248|83|294|125|284|204|213
10410,226|247|230|248|83|294|125|284|204|213
10444,226|247|230|248|83|294|204|284|213|165
10500,226|247|230|248|83|294|125|204|284|213
10526,226|247|230|248|83|294|125|213|204|284
10544,226|247|230|248|83|294|125|204|213|284
10545,226|247|230|248|83|294|125|204|213|284
10550,226|247|230|83|294|125|284|213|204|165
10656,226|247|230|248|83|294|125|204|213|284
10663,226|247|230|248|83|294|125|204|284|213
10688,226|247|230|125|248|83|294|204|213|284
10710,226|247|230|248|83|294|125|204|284|213
10748,226|247|230|248|83|294|125|204|284|213
10754,226|247|230|248|83|294|125|284|204|213
10820,226|247|230|248|83|294|125|213|204|284
10838,226|247|230|248|83|294|125|204|213|284
10844,226|247|230|248|83|294|125|284|204|213
10850,226|247|230|248|83|294|125|204|213|284
10871,226|247|230|248|83|294|125|213|204|284
10884,226|247|230|248|83|294|125|284|204|213
10921,226|247|230|248|83|294|125|204|213|284
10923,226|247|230|248|83|294|125|204|213|284
10948,226|247|230|248|83|294|125|204|284|213
10951,226|247|230|248|83|294|125|204|213|284
10973,226|247|230|248|83|294|125|204|213|284
10975,226|247|230|248|83|294|125|204|284|213
11013,226|247|230|248|83|294|125|284|213|204
11015,226|247|230|248|83|294|125|213|204|284
11081,226|247|230|248|83|294|125|204|284|213
11096,226|247|230|248|83|294|125|204|213|284
11102,226|247|230|248|83|294|125|204|284|213
11119,226|247|230|248|83|294|125|213|284|204
11122,226|230|248|83|294|125|204|213|284|72
11134,226|247|230|248|83|294|125|204|213|284
11167,226|247|230|248|83|294|125|72|213|204
11215,226|247|230|248|83|294|125|204|213|284
11281,226|247|230|248|83|294|125|204|213|284
11321,226|247|230|248|83|294|125|204|284|213
11330,226|247|230|248|83|294|125|204|213|284
11350,226|247|230|248|83|294|125|213|204|284
11379,226|247|230|248|83|294|125|213|204|284
11392,226|247|230|248|83|294|125|284|204|213
11397,226|247|230|248|83|294|125|204|213|165
11433,226|247|230|248|83|294|125|204|284|213
11459,226|247|230|248|83|294|125|204|284|213
11468,226|247|230|248|83|294|125|204|284|213
11489,226|247|230|248|83|294|125|204|284|213
11500,226|247|230|83|248|294|125|204|213|284
11523,226|247|230|248|83|294|125|284|213|204
11528,226|247|230|248|83|294|125|204|213|284
11555,226|247|230|248|83|294|125|213|204|284
11570,226|247|230|248|83|294|125|204|213|284
11591,226|247|230|248|83|294|125|284|204|213
11679,226|247|230|248|83|294|125|204|284|213
11744,226|247|230|248|83|294|125|284|213|204
11830,226|247|230|248|83|294|125|213|204|284
11837,226|247|230|248|83|294|125|204|284|213
11899,226|247|230|248|83|294|125|284|213|204
11932,226|247|230|248|83|294|125|213|204|284
11985,226|247|230|248|83|294|125|204|284|213
11995,226|247|230|248|83|294|125|204|284|213
12051,226|247|230|248|83|294|125|213|204|284
12096,226|247|230|248|83|294|125|204|213|284
12122,226|247|230|248|83|294|125|284|213|204
12142,226|247|230|248|83|294|125|204|213|284
12221,226|247|230|248|83|294|125|284|204|213
12225,226|247|230|248|83|294|125|213|204|165
12253,226|247|230|248|83|294|125|284|204|213
12278,226|247|83|248|294|125|204|213|284|72
12286,226|247|230|248|83|294|125|213|204|284
12321,226|247|230|248|83|294|125|213|204|284
12371,226|247|230|248|83|294|125|213|204|284
12422,226|247|230|248|83|294|125|204|284|213
12432,226|247|230|248|83|294|125|204|284|213
12448,226|247|230|248|83|294|125|204|213|284
12458,226|247|230|248|83|294|125|213|204|284
12464,226|247|230|248|83|294|125|213|284|204
12521,226|247|230|248|83|294|125|284|204|213
12525,226|247|230|248|83|294|125|213|204|284
12532,226|247|230|248|83|294|125|204|213|284
12535,226|247|230|248|83|294|125|284|204|213
12553,226|247|230|248|83|294|125|213|204|284
12577,226|247|230|248|83|294|125|213|284|204
12578,226|247|230|248|83|294|125|204|284|213
12590,226|247|230|248|83|294|125|204|284|213
12641,226|247|230|248|83|294|125|213|204|284
12683,226|247|230|248|83|294|125|204|284|213
12724,226|247|230|248|83|294|125|204|284|213
12735,226|247|230|248|83|294|125|204|284|213
12750,226|247|230|248|83|294|125|204|284|213
12768,226|247|230|248|83|294|125|284|213|204
12788,226|247|230|248|83|294|125|284|204|213
12836,226|247|248|83|294|125|213|204|284|165
12867,226|247|230|248|83|294|125|213|284|204
12894,226|247|230|248|83|294|125|204|284|213
12952,226|247|230|248|83|294|125|213|204|284
13039,226|247|230|248|83|294|125|204|284|213
13114,226|247|230|248|83|294|125|284|213|204
13132,226|247|230|248|83|294|125|213|204|284
13151,247|230|248|83|294|125|204|284|72|165
13167,226|247|230|248|83|294|125|284|213|204
